text,retweets,replies,likes,quotes,created_at,vader_score,vader_label,tblob_score,tblob_label,top1_mood,top2_mood,top3_mood
The latest Telecom Pulse - Vignesh Iyer Daily! https://t.co/k4TC6ZWXkO Thanks to @NpoReports @hornbilltv #5g #vodafone,0,0,0,0,2022-07-17 11:53:05+00:00,0.4926,pos,0.2333333333333333,pos,DONT_CARE,AMUSED,INSPIRED
Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/p2Ne0uvTJk https://t.co/S4OcWGT0qz,0,0,0,0,2022-07-17 09:57:01+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/Pynj1Ukgto https://t.co/wqEfgfV572,0,0,1,0,2022-07-17 07:42:06+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
"You can now capture and share every moment of your adventure through Vodafone’s Data Roaming. Enjoy free additional roaming data and roaming minutes on all Unlimited 5G plans. Check out our 5G Unlimited plans and roam worry-free with Vodafone! T&amp;Cs apply.
https://t.co/crqgRDxqqn https://t.co/Dv2p7tAYsV",0,0,16,0,2022-07-17 06:31:27+00:00,0.8832,pos,0.45,pos,AMUSED,INSPIRED,DONT_CARE
Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/UcGE980aT4 https://t.co/JRUc9sBKuf,0,0,0,0,2022-07-17 05:46:32+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
"3\6 Sunil Bharti Mittal's Airtel, and Vodafone-Birla Group joint venture Vi. However, Adani Group in a statement clarified that its intention to acquire 5G spectrum",0,1,0,0,2022-07-17 05:01:14+00:00,0.0,neu,0.0,neu,ANNOYED,DONT_CARE,ANGRY
"Fake claim in circulation that people are dying due to 5G trials and not COVID-19 - Oneindia News

https://t.co/VYK3KeawR5

 #AIRTEL #Jio #vodafone",0,0,0,0,2022-07-17 02:57:43+00:00,-0.4767,neg,-0.3125,neg,ANGRY,DONT_CARE,AMUSED
"Google Cloud has arguably been at the forefront of telco/hyperscaler engagements in 2022, having also announced key partnerships with the likes of Vodafone, BT, Telefónica Deutschland, Ooredoo, Bell Canada and Elisa, to name just a few. https://t.co/e3LQ0tl4Ew",1,0,1,0,2022-07-17 00:45:38+00:00,0.34,pos,-0.1,neg,INSPIRED,DONT_CARE,AMUSED
"""Google Cloud has arguably been at the forefront of telco/hyperscaler engagements in 2022, having also announced key partnerships with the likes of Vodafone, BT, Telefónica Deutschland, Ooredoo, Bell Canada and Elisa, to name just a few.""
https://t.co/tGbqse33kJ",4,0,15,2,2022-07-17 00:12:13+00:00,0.34,pos,-0.1,neg,INSPIRED,DONT_CARE,AMUSED
Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/zfZ6mcQmPa https://t.co/oT9GCL0Xa6,0,0,0,0,2022-07-16 17:53:17+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
Vodafone and The Scotland 5G Cen... - News - Mobile News #5G  CC:@TamaraMcCleary https://t.co/BbFOmUfZos,0,0,0,0,2022-07-16 17:08:03+00:00,0.0,neu,0.0,neu,,,
"If you have a UK vodafone sim and have issues roaming in Germany with the phone connecting for a few minutes then dropping off the vodafobe de network and not reconnecting at all unless you reset the sim or reboot the phone, then turn off 5G. You can't connect to other networks.",0,1,0,0,2022-07-16 14:58:23+00:00,0.0,neu,-0.1625,neg,AMUSED,DONT_CARE,ANNOYED
"Vodafone Sim available at walking distance.

#5G ABT Vodafone is a Authorized Distributor for Vodafone Products and Services.

 Contact Us: 9010 1426 | 72727807 | 72727809 | 72727805

 Address: Al Shoman Street Building 1, Suite 01-PA Barka Sultanate  of Oman https://t.co/Pl1jOGzbtZ",0,0,1,0,2022-07-16 14:07:40+00:00,0.0,neu,0.4,pos,SAD,INSPIRED,DONT_CARE
"@AAbuainan Hi! You will get 100 international roaming minutes and 3GB roaming data for free automatically if you are subscribed to one of our Unlimited 5G Plans. For more details about the offer and the applicable countries, please visit: https://t.co/nicigm1nJ6. Thanks!",0,0,0,0,2022-07-16 12:17:30+00:00,0.8436,pos,0.2875,pos,INSPIRED,AMUSED,DONT_CARE
The latest Telecom Pulse - Vignesh Iyer Daily! https://t.co/9L75UzaVRQ Thanks to @AminurI12 @asiatravelnote @natodenise #5g #vodafone,0,0,0,0,2022-07-16 11:52:46+00:00,0.4926,pos,0.2333333333333333,pos,DONT_CARE,AMUSED,INSPIRED
NOS beats MEO and Vodafone with the fastest 5G network in Portugal https://t.co/Y8ogsvxRun,0,0,0,0,2022-07-16 10:53:07+00:00,0.0,neu,0.0,neu,DONT_CARE,AMUSED,INSPIRED
"Thank You @ViCustomerCare!!
#Vodafone #Vi #vodafoneidea #CustomerCare
Every mobile operator right now: We are bringing 5G
VodafoneIdea : Why don't you see how 2G was?
Don't even want to waste my time with customer service now. It's the 5th time I am raising this issue. https://t.co/Ic1VZgz1Pg",0,1,0,0,2022-07-16 08:58:50+00:00,-0.2746,neg,0.042857142857142844,neu,INSPIRED,ANGRY,AMUSED
Vodafone and Virgin Media O2 to deliver 4G and 5G across London Underground - Capacity Media #5G  CC:@MikeQuindazzi https://t.co/6O98apIku4,0,0,0,0,2022-07-16 08:38:03+00:00,0.0,neu,0.0,neu,HAPPY,DONT_CARE,SAD
"What is TYHTA Take Your Home Tariff Abroad?
It is unique feature that enables you to use the in-bundled data, minutes and SMS within your plan while roaming.
#5G ABT Vodafone is a Authorized Distributor for Vodafone Products and Services. https://t.co/KseCTLmzCW",0,0,1,0,2022-07-16 08:22:03+00:00,0.0,neu,0.375,pos,AMUSED,INSPIRED,DONT_CARE
Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/8cdcr78AcJ https://t.co/AOd20dtVXo,1,0,0,0,2022-07-16 08:11:48+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
"@eatsruns Sadly not - I was with John Lewis before, and just switched to Vodafone, but not 5G.",0,1,0,0,2022-07-16 08:03:22+00:00,-0.2263,neg,0.25,pos,INSPIRED,ANNOYED,AMUSED
"In more home utilities chat, does anyone have a 5G router? I couldn't bring Vodafone with me sadly, and not happy with new co. But I do have a strong 5G signal here.",0,2,0,0,2022-07-16 07:55:52+00:00,0.3718,pos,0.03393939393939392,neu,INSPIRED,ANNOYED,AMUSED
Connecting the German Alps – @VodafoneGroup #5G Case Study https://t.co/pWCa9ZZxXy https://t.co/nY17rZBOcT,0,0,0,0,2022-07-16 07:11:46+00:00,0.0,neu,0.0,neu,INSPIRED,AMUSED,HAPPY
"How can 5G, AR, and IoT make industrial processes more efficient than ever? Learn from Vodafone’s case study with Cepsa: https://t.co/ERpOW5HUDT https://t.co/po2Nrh8bg0",0,0,0,0,2022-07-16 07:10:30+00:00,0.4754,pos,0.5,pos,INSPIRED,AMUSED,ANNOYED
"Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/4g8zuBZlp4

#oracle
#oci
#oraclecloudinfrastructure
#oraclecloud https://t.co/2IgfervJVx",0,0,0,0,2022-07-16 02:39:21+00:00,0.0,neu,0.0,neu,ANNOYED,INSPIRED,DONT_CARE
Deaf festival fans rock on with Vodafone 5G haptic suits https://t.co/N1TTcXtpDj,0,0,0,0,2022-07-15 23:03:09+00:00,0.4939,pos,0.0,neu,AMUSED,DONT_CARE,INSPIRED
Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/sEg38rKAiv https://t.co/IEUlV7xf7y,0,0,0,0,2022-07-15 21:17:51+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
"Now in @Forbes - learn how @OracleComms' billing and revenue management solution, deployed on OCI, is helping Vodafone monetize new #5G and #IoT services https://t.co/R0nlzJ6J6q https://t.co/tcULqpj9zY",0,0,1,0,2022-07-15 19:00:43+00:00,0.5423,pos,0.13636363636363635,pos,INSPIRED,AMUSED,ANNOYED
"Vodafone: The Journey From ‘Telco To TechCo’. 
From Telco to TechCo :) feels like the new norm of digital transformation

Forbes deep-dives into how Vodafone is revamping its ops to reduce costs, &amp; deliver the next generation of #5G and #IoT services https://t.co/hteKxLrRh3 https://t.co/AaFSDXlI5P",0,0,0,0,2022-07-15 16:34:15+00:00,0.6705,pos,0.1590909090909091,pos,INSPIRED,DONT_CARE,AMUSED
Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/xoLH05DroM https://t.co/SGQRqAUkq0,0,0,0,0,2022-07-15 16:24:41+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/Y89n3meRpN https://t.co/v0x2cAmNtP,0,0,0,0,2022-07-15 16:13:09+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
Vodafone deploys two private 5G networks in Scotland https://t.co/tLOj3xrXs7 https://t.co/TwYwpS5BpS,0,0,0,0,2022-07-15 16:08:33+00:00,0.0,neu,0.0,neu,INSPIRED,ANNOYED,DONT_CARE
"Some of the Companies Working On 5G Technologies In India

- Reliance Ind
- Tejas Network
- Tech Mahindra
- Smartlink Holding
- Indus Tower
- HFCL 
- MTNL
- Vodafone Idea
- Subex
- STL
- ITI

#StockMarket",1,0,5,0,2022-07-15 15:29:55+00:00,0.0,neu,0.0,neu,INSPIRED,DONT_CARE,ANNOYED
"https://t.co/OWHLf1Ff8s is now for sale!

A perfect domain name for  #mvno brands.

KISS: Keeping It Simple &amp; Superior

#mobile #cellphone #wireless #network #telecom #cellular #5g #appleiphone #android #startup @verizon @tmobile @att @vodafone_group @VodafoneUK @apple #vc https://t.co/nRR6QZ8nQa",0,0,0,0,2022-07-15 14:08:44+00:00,0.9006,pos,0.5666666666666667,pos,AMUSED,INSPIRED,DONT_CARE
Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/6u10qOrPhS https://t.co/bm59ufxpGc,0,0,0,0,2022-07-15 13:45:16+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
Forbes deep-dives into how Vodafone is revamping its operations with @Oracle to reduce costs and deliver the next generation of #5G and #IoT services. https://t.co/f6iiZPOqIF https://t.co/e1MKP0W6ox,0,0,0,0,2022-07-15 13:36:14+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
"Now in @Forbes - learn how @OracleComms' billing and revenue management solution, deployed on OCI, is helping Vodafone monetize new #5G and #IoT services https://t.co/ivC0ZqHarb https://t.co/NZkKcJpV61",0,0,0,0,2022-07-15 12:30:12+00:00,0.5423,pos,0.13636363636363635,pos,INSPIRED,AMUSED,ANNOYED
"Virgin Media O2 and #Vodafone join London Underground’s mobile network - 
Virgin Media O2 and #Vodafone are the latest UK network operators set to join the London Underground’s 4G and 5G mobile-ready n... https://t.co/XiI8IcAdEj #Londonunderground #VirginMediaO2",0,0,0,0,2022-07-15 12:21:11+00:00,0.5267,pos,0.5,pos,DONT_CARE,AMUSED,INSPIRED
The latest Telecom Pulse - Vignesh Iyer Daily! https://t.co/GTEcJCy3QW Thanks to @thenetick @anirban4you @newsinject #5g #vodafone,0,0,0,0,2022-07-15 11:52:47+00:00,0.4926,pos,0.2333333333333333,pos,DONT_CARE,AMUSED,INSPIRED
Forbes deep-dives into how Vodafone is revamping its operations with #Oracle to reduce costs and deliver the next generation of #5G and #IoT services https://t.co/t6VBtXlI3Q https://t.co/QdENw47VHb,0,0,1,0,2022-07-15 11:34:16+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
We're delighted to have advised BAI Communications on partnerships with Vodafone and Virgin Media O2 to provide 4G and 5G-ready mobile connectivity across the London Underground. Read our media release: https://t.co/HNQ6UoTmZk https://t.co/nUGjpalaCk,0,0,1,0,2022-07-15 10:32:07+00:00,0.5106,pos,0.7,pos,DONT_CARE,INSPIRED,AMUSED
".@o2cando passed 50% population coverage for its #5G network as it chases down rivals @Vodafone_de and @deutschetelekom #O2 #Telefonica

Read more: https://t.co/erwOran08d",0,0,0,0,2022-07-15 10:01:26+00:00,0.0,neu,0.17222222222222222,pos,AMUSED,INSPIRED,ANNOYED
@VodafoneUK calls for companies to collaborate on renewable power projects for mobile sites ➡️ https://t.co/TPxLufCPst https://t.co/hXbsOiGBKD,1,0,0,0,2022-07-15 07:49:03+00:00,0.0,neu,0.0,neu,INSPIRED,AMUSED,DONT_CARE
Forbes deep-dives into how Vodafone is revamping its operations with #Oracle to reduce costs and deliver the next generation of #5G and #IoT services https://t.co/9wix3Mfezt https://t.co/qRwk8lQ756,0,0,0,0,2022-07-15 07:06:38+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
"A combined Three/Vodafone would boast a significant holding of mid-band spectrum, which has been a priority for 5G deployments so far. This may lead the CMA to consider the balance in spectrum holdings between operators and potential divestment options

https://t.co/RNeJM2e76r",0,0,0,0,2022-07-15 07:00:00+00:00,0.2023,pos,0.15833333333333333,pos,DONT_CARE,INSPIRED,AMUSED
"@GeorgeMonbiot @VodafoneUK Just watched you on @GMB, Vodafone are rooting to the core in all aspects of delivery. They’ve been turning down the signal strength on masts to force people into 5g contracts and phone upgrades.   Luckily, I realised that was going on and switched my mum to 3G to get her con….",0,1,0,0,2022-07-15 06:59:44+00:00,0.7579,pos,0.08888888888888886,pos,INSPIRED,AMUSED,DONT_CARE
Forbes deep-dives into how Vodafone is revamping its operations with #Oracle to reduce costs and deliver the next generation of #5G and #IoT services https://t.co/689QRq4Qpl https://t.co/WMbHEd08UK,0,0,0,0,2022-07-15 06:56:49+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
"@VodafoneUK Yes. It’s not just my phone either, I was discussing this with 3 friends on Vodafone last night. We have no 5G here and it doesn’t appear to be planned, there is barely any signal at all in town and if we do get any it’s very weak and often “E” not 3G or 4G",1,1,0,0,2022-07-15 06:54:22+00:00,0.1045,pos,-0.14583333333333334,neg,INSPIRED,AMUSED,ANGRY
"@LaxmanPawde6 @MadhavSheth1 5G is coming to this year man
https://t.co/A30xKzgJA3",0,0,0,0,2022-07-15 06:33:26+00:00,0.0,neu,0.0,neu,INSPIRED,AMUSED,ANGRY
Forbes deep-dives into how Vodafone is revamping its operations with #Oracle to reduce costs and deliver the next generation of #5G and #IoT services https://t.co/bdM0ebEUhw https://t.co/meLx3zdyNq,0,0,0,0,2022-07-15 06:01:51+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
"#Indian #government confirms four bidders (Adani Data Networks, Reliance Jio Infocomm, Vodafone Idea and Bharti Airtel ) for domestic #5G spectrum. https://t.co/YeJ0v1dyNx https://t.co/2NRndzDlRF",2,0,0,0,2022-07-15 05:11:04+00:00,0.0,neu,0.0,neu,AMUSED,ANGRY,INSPIRED
"What if Bankruptcy of Vodafone-Idea followed by Bailout by govt of India and Adani's bid for 5G spectrum are related?

#5Gauction",0,0,1,0,2022-07-15 04:42:54+00:00,-0.1027,neg,0.0,neu,ANGRY,ANNOYED,INSPIRED
"What an useless Govt it is. Playing dirty mafia game to kick out another Joker Airtel Mittal. Why BSNL is not participating in this action to kick out other Rogue's?

Adani Data Networks,Jio,Airtel, Vodafone Idea to bid for 5G spectrum | BS News https://t.co/5xpqJCxnhL",0,0,1,0,2022-07-15 04:39:28+00:00,-0.5267,neg,-0.305,neg,INSPIRED,AMUSED,DONT_CARE
"Direct allocation of 5G airwaves to tech cos will hit us: Telcos India's top three telcos, Reliance Jio, Bharti Airtel and Vodafone Idea, have reiterated the importance of a level playing field when it comes to acquiring... #Industry by #EconomicTimes https://t.co/msVsYikv9p",0,0,0,0,2022-07-15 00:30:03+00:00,0.6249,pos,0.3,pos,DONT_CARE,INSPIRED,AMUSED
Connecting the German Alps – @VodafoneGroup #5G Case Study https://t.co/WrEw9uh7xQ https://t.co/VkHj6wGaey,0,0,0,0,2022-07-14 21:36:52+00:00,0.0,neu,0.0,neu,INSPIRED,AMUSED,HAPPY
"Explore how @PorscheRaces approaches #innovation and #technology and how our #partnership helped it respond to the challenges of COVID-19: https://t.co/ScytgWBqQD

#Porsche #Motorsport #5G #FormulaE https://t.co/MEzO6cSH4I",0,0,3,0,2022-07-14 20:05:07+00:00,0.0772,pos,0.0,neu,INSPIRED,AMUSED,ANNOYED
"@StephenKolanko1 Fairly certain it's not in Ukraine.. I don't think they've even got any 5G networks yet. 🤔
https://t.co/SrfHQE76XN",0,1,1,0,2022-07-14 18:35:17+00:00,0.2732,pos,0.21428571428571427,pos,INSPIRED,AMUSED,ANNOYED
Forbes deep-dives into how Vodafone is revamping its operations with #Oracle to reduce costs and deliver the next generation of #5G and #IoT services https://t.co/eFgHEyPTl3 https://t.co/4W7xAjER9o,0,0,1,0,2022-07-14 15:32:27+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
Vodafone 5G in U.K. is the worst,0,0,0,0,2022-07-14 14:28:00+00:00,-0.6249,neg,-1.0,neg,DONT_CARE,AMUSED,ANGRY
"Vodafone Hints at IoT Spinoff https://t.co/acNn6ELBUd
#IoT #IIoT #IoTPL #IoTCL  #IoTCommunity #IntrernetOfThings #5G  #SmartThings #InternetOfEverything #Industry40 #SmartCity #DigitalCity @IoTCommunity @IoTChannel",1,0,3,0,2022-07-14 13:44:01+00:00,0.0,neu,0.0,neu,SAD,INSPIRED,AMUSED
Forbes deep-dives into how Vodafone is revamping its operations with #Oracle to reduce costs and deliver the next generation of #5G and #IoT services https://t.co/YTO1g24sRh https://t.co/tXJqZ11PkL,0,0,0,0,2022-07-14 13:34:40+00:00,0.0,neu,0.0,neu,INSPIRED,ANGRY,ANNOYED
"Now in @Forbes - learn how @OracleComms' billing and revenue management solution, deployed on OCI, is helping Vodafone monetize new #5G and #IoT services https://t.co/ShdN6ptujX https://t.co/JkQDayyItl",0,0,1,0,2022-07-14 13:33:09+00:00,0.5423,pos,0.13636363636363635,pos,INSPIRED,AMUSED,ANNOYED
"""Billionaire Gautam Adani-led Adani Group is participating in an auction of 5G airwaves. 

Jio as well as telecom czar Sunil Bharti Mittal's Bharti Airtel and Vodafone Idea Ltd are also participating in the auction. 

What do you think? Why is Adani Bidding for the Spectrum?""",0,9,53,0,2022-07-14 13:30:03+00:00,0.3527,pos,0.0,neu,INSPIRED,AMUSED,ANNOYED
"You can now capture and share every moment of your adventure through Vodafone’s Data Roaming. Enjoy free additional roaming data and roaming minutes on all Unlimited 5G plans. Check out our 5G Unlimited plans and roam worry-free with Vodafone! T&amp;Cs apply.
https://t.co/crqgRDfhcf https://t.co/lg5CtCOPC6",0,1,1,0,2022-07-14 13:01:40+00:00,0.8832,pos,0.45,pos,AMUSED,INSPIRED,DONT_CARE
"@EconomicTimes Top telcos Reliance Jio, Bharti Airtel and Vodafone Idea have reiterated the importance of a level playing field when it comes to acquiring 5G spectrum for captive networks
https://t.co/hdGzhFdcac",1,0,0,0,2022-07-14 12:36:08+00:00,0.6249,pos,0.35,pos,INSPIRED,AMUSED,DONT_CARE
"Top telcos Reliance Jio, Bharti Airtel and Vodafone Idea have reiterated the importance of a level playing field when it comes to acquiring 5G spectrum for captive networks
https://t.co/yftYgRVp4F",2,0,9,0,2022-07-14 11:55:00+00:00,0.6249,pos,0.35,pos,INSPIRED,AMUSED,DONT_CARE
The latest Telecom Pulse - Vignesh Iyer Daily! https://t.co/7vmR5nU3HI Thanks to @shitalbhusari11 @IOUpayAsia #5g #vodafone,0,0,0,0,2022-07-14 11:53:20+00:00,0.4926,pos,0.2333333333333333,pos,DONT_CARE,AMUSED,INSPIRED
Adani v Ambani: AreIndia’s richest men about to battle over 5G? Vodafone to buckle? https://t.co/sWCj1lrj2N,0,0,0,0,2022-07-14 11:50:58+00:00,0.2869,pos,0.0,neu,DONT_CARE,INSPIRED,AMUSED
Adani v Ambani: AreIndia’s richest men about to battle over 5G? Vodafone to buckle? https://t.co/OOnVdRn05i,0,0,0,0,2022-07-14 11:32:50+00:00,0.2869,pos,0.0,neu,DONT_CARE,INSPIRED,AMUSED
Scotland 5G Centre turns to Vodafone for 5G networks to support economic growth https://t.co/clpIUVlsM8,0,0,0,0,2022-07-14 10:23:03+00:00,0.6486,pos,0.2,pos,INSPIRED,DONT_CARE,ANNOYED
"@knight247 @virginmedia Hey, hope you're well 😊 You're able to check which areas are 5G ready by typing in the postcode on our Network Status Checker, and you can looking on the left hand side for good 3G, 4G, 5G connection 👉 https://t.co/Etz8OezH0Y I hope this helps! Saf",0,1,1,0,2022-07-14 09:46:54+00:00,0.9571,pos,0.39375,pos,INSPIRED,AMUSED,ANNOYED
"Now in @Forbes - learn how @OracleComms' billing and revenue management solution, deployed on OCI, is helping Vodafone monetize new #5G and #IoT services https://t.co/dWjyGeACYv https://t.co/Es0M1gldrN",0,0,1,0,2022-07-14 08:21:00+00:00,0.5423,pos,0.13636363636363635,pos,INSPIRED,AMUSED,ANNOYED
"Jio, Airtel, Vodafone Idea, and new entrant Adani Data Networks have all entered the auction for the 5G Spectrum!

Here are some stocks which could benefit from the 5G network rollout 👇

Tejas Networks
Tech Mahindra
Bharti Airtel
Reliance Industries
Sterlite Technologies
ITI",7,5,77,0,2022-07-14 07:33:56+00:00,0.5093,pos,0.17045454545454544,pos,INSPIRED,DONT_CARE,AMUSED
"#5G ABT Vodafone is a Authorized Distributor for Vodafone Products and Services.

📞 Contact Us: 72727807 | 72727804 | 72727805

📍 Address: Al Shoman Street Building 1, Suite 01-PA Barka 

#GCC #Roaming #Traveling #abtvodafone https://t.co/9LI2FKpnBQ",0,0,1,0,2022-07-14 07:13:11+00:00,0.0,neu,0.0,neu,ANGRY,AMUSED,INSPIRED
".@vodafone_de said that its 5G network carried 1500 TB data in the last week of June. According to our calculations, that should mean that 4-5% of the total mobile data traffic was 5G. https://t.co/wQNJhSGtGa",0,1,2,0,2022-07-14 06:32:53+00:00,0.0,neu,-0.10416666666666667,neg,AMUSED,ANNOYED,ANGRY
"Here's what #COAI had to say on fair play to prevent back door entry to big tech for 5G, @Daanish_Anand brings us all the details: 

#Telecom #5G #TRAI @TRAI #Adani #BhartiAirtel #Vodafone https://t.co/r2k02HAmxI",3,2,22,1,2022-07-14 05:37:59+00:00,0.5859,pos,0.2333333333333333,pos,INSPIRED,AMUSED,DONT_CARE
Scotland 5G Centre turns to Vodafone for 5G networks to support economic growth https://t.co/Rkn5zF9PKJ,0,0,0,0,2022-07-14 05:23:42+00:00,0.6486,pos,0.2,pos,INSPIRED,DONT_CARE,ANNOYED
"Just when the existing operators were cooling, entry of Adani is going to start next level of battle in the Indian Telecom Space.

Adani's commitment of ~$70B in producing clean energy, data centers etc is exciting for manufacturing &amp; native industries.
https://t.co/LBOE1wadiH",12,3,27,0,2022-07-14 05:04:34+00:00,0.7906,pos,0.22222222222222224,pos,INSPIRED,AMUSED,ANNOYED
Vodafone: This unlimited 5G data deal is a Prime Day bargain - Expert Reviews #5G  CC:@Ronald_vanLoon https://t.co/RxpWgYrJBB,0,0,0,0,2022-07-14 02:53:03+00:00,0.2023,pos,0.0,neu,DONT_CARE,AMUSED,ANGRY
"Connect the Dots

#Vodafone Idea testing 5G in Gujrat

#Vodafone Idea offers Govt to convert dues into equity

Adani gets permission for telecom in Gujrat",0,0,0,0,2022-07-14 01:13:16+00:00,0.0,neu,0.1,pos,INSPIRED,AMUSED,ANNOYED
"Now in @Forbes - learn how @OracleComms' billing and revenue management solution, deployed on OCI, is helping Vodafone monetize new #5G and #IoT services https://t.co/DeMb11O8Dg https://t.co/PGqUlKf3Hd",0,0,1,0,2022-07-14 00:42:36+00:00,0.5423,pos,0.13636363636363635,pos,INSPIRED,AMUSED,ANNOYED
